Country,ISO3,Region,CPI score 2019,Rank,standard error ,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Comoros,COM,SSA,25,153,8.904729,4,10.39625,39.60376,3.530485,,,,,46.73721,,,,21.01911,26.78049,,
Tajikistan,TJK,ECA,25,153,6.659976,6,14.07764,35.92236,,,16.88744,,20.74857,22.45197,,,,13.06165,18.44911,57.48047,
Uzbekistan,UZB,ECA,25,153,2.01073,7,21.7024,28.2976,,,28.85599,19.79276,20.74857,22.45197,,,,22.46592,26.78049,,34.68251
Madagascar,MDG,SSA,24,158,2.475335,8,19.94045,28.05955,18.85183,,32.8455,,,34.50329,,,23.70985,21.01911,26.78049,17.3223,15.81866
Zimbabwe,ZWE,SSA,24,158,2.307745,9,20.2153,27.7847,16.2472,,20.87696,37.26319,,22.45197,,,15.00106,22.46592,26.78049,30.6499,23.90317
Eritrea,ERI,SSA,23,160,6.657395,5,12.08187,33.91813,3.530485,,12.89792,,,34.50329,,,,39.10423,26.78049,,
Nicaragua,NIC,AME,22,161,1.162477,7,20.09354,23.90646,,,20.87696,19.79276,,22.45197,,,23.70985,17.40208,26.78049,,23.90317
Cambodia,KHM,AP,20,162,3.409514,8,14.4084,25.5916,,,12.89792,19.79276,,22.45197,,33.65052,,13.78506,10.11772,35.3847,14.0221
Chad,TCD,SSA,20,162,2.451336,6,15.97981,24.02019,23.90787,,20.87696,,,22.45197,,,,9.444628,26.78049,18.7252,
Iraq,IRQ,MENA,20,162,2.980012,5,15.11278,24.88722,,,28.85599,19.79276,,10.21805,,,19.35545,21.74251,,,
Burundi,BDI,SSA,19,165,4.894006,6,10.97383,27.02617,13.79579,,16.88744,,,22.45197,,,,10.89144,10.11772,42.04851,
Congo,COG,SSA,19,165,1.031566,6,17.30823,20.69177,,,20.87696,19.79276,,22.45197,,,15.00106,19.5723,18.44911,,
Turkmenistan,TKM,ECA,19,165,1.417115,5,16.67593,21.32407,,,16.88744,19.79276,20.74857,22.45197,,,,14.50846,,,
Democratic Republic of the Congo,COD,SSA,18,168,1.426883,9,15.65991,20.34009,23.90787,,20.87696,19.79276,,22.45197,,,15.00106,10.16803,18.44911,15.74403,15.81866
Guinea Bissau,GNB,SSA,18,168,2.909114,6,13.22905,22.77095,11.19116,,28.85599,,,22.45197,,,18.65875,15.23187,10.11772,,
Haiti,HTI,AME,18,168,3.234971,6,12.69465,23.30535,,,16.88744,,,22.45197,,,23.70985,13.06165,26.78049,5.3976,
Libya,LBY,MENA,18,168,2.241052,5,14.32467,21.67533,,,20.87696,19.79276,,10.21805,,,15.00106,22.46592,,,
"Korea, North",PRK,AP,17,172,3.159824,4,11.81789,22.18211,,,16.88744,,,10.21805,,,15.00106,25.35954,,,
Afghanistan,AFG,AP,16,173,2.554536,5,11.81056,20.18944,,,24.86647,,,10.21805,,,,13.06165,18.44911,,14.0221
Equatorial Guinea,GNQ,SSA,16,173,2.997751,4,11.08369,20.91631,,,8.908407,19.79276,,22.45197,,,,14.50846,,,
Sudan,SDN,SSA,16,173,2.743431,7,11.50077,20.49923,13.79579,,12.89792,19.79276,,22.45197,,,6.292267,26.80635,10.11772,,
Venezuela,VEN,AME,16,173,2.048858,8,12.63987,19.36013,,,8.908407,19.79276,,10.21805,23.33247,,15.00106,24.63613,,15.56867,13.12382
Yemen,YEM,MENA,15,177,1.885994,7,11.90697,18.09303,,,12.89792,19.79276,,10.21805,,,15.00106,13.06165,10.11772,23.46001,
Syria,SYR,MENA,13,178,1.921515,5,9.848716,16.15128,,,8.908407,19.79276,,10.21805,,,15.00106,13.06165,,,
South Sudan,SSD,SSA,12,179,1.263942,5,9.927135,14.07286,11.19116,,16.88744,,,10.21805,,,,13.06165,10.11772,,
Somalia,SOM,SSA,9,180,1.740826,5,6.145045,11.85496,3.530485,,8.908407,,,10.21805,,,6.292267,13.78506,,,
